oid;category
3302;4-Biatlon-void
3307;3-Slovensko-Dudince
3307;3-Slovensko-void
3308;3-Slovensko-Dudince
3308;3-Slovensko-void
278;3-Slovensko-Horné Saliby
278;3-Slovensko-void
3309;3-Slovensko-Dudince
3309;3-Slovensko-void
296;3-Slovensko-Štúrovo
296;3-Slovensko-void
730;3-Slovensko-Beše?ová
730;3-Slovensko-void
1917;3-Slovensko-Beše?ová
1917;3-Slovensko-void
2791;3-?eská republika-Jáchymov
2791;3-?eská republika-void
2791;3-?eská republika, víkendové pobyty-Jáchymov
2791;3-?eská republika, víkendové pobyty-void
2894;3-?eská republika-Jáchymov
2894;3-?eská republika-void
2894;3-?eská republika, víkendové pobyty-Jáchymov
2894;3-?eská republika, víkendové pobyty-void
3320;3-?eská republika-Jáchymov
3320;3-?eská republika-void
3320;3-?eská republika, víkendové pobyty-Jáchymov
3320;3-?eská republika, víkendové pobyty-void
3321;3-?eská republika-Jáchymov
3321;3-?eská republika-void
3321;3-?eská republika, víkendové pobyty-Jáchymov
3321;3-?eská republika, víkendové pobyty-void
3322;3-?eská republika-Pod?brady
3322;3-?eská republika-void
3323;3-?eská republika-Pod?brady
3323;3-?eská republika-void
3324;3-?eská republika-Pod?brady
3324;3-?eská republika-void
3325;3-?eská republika-Pod?brady
3325;3-?eská republika-void
37;3-?eská republika-T?ebo?
37;3-?eská republika-void
611;3-?eská republika-T?ebo?
611;3-?eská republika-void
611;3-?eská republika, víkendové pobyty-T?ebo?
611;3-?eská republika, víkendové pobyty-void
1625;3-?eská republika-T?ebo?
1625;3-?eská republika-void
1072;3-?eská republika-Pod?brady
1072;3-?eská republika-void
3331;3-?eská republika-Pod?brady
3331;3-?eská republika-void
3131;3-?eská republika-Pod?brady
3131;3-?eská republika-void
1363;3-?eská republika-Pod?brady
1363;3-?eská republika-void
3333;3-?eská republika-Pod?brady
3333;3-?eská republika-void
3337;3-?eská republika-Libverda
3337;3-?eská republika-void
3340;3-?eská republika-Libverda
